token_lower,total_count,initial_upper_count,all_upper_count,initial_upper_ratio,all_upper_ratio
adige,22,22,0,1.0,0.0
adilie,8,8,0,1.0,0.0
adima,7,7,0,1.0,0.0
adine,60,60,0,1.0,0.0
adinolfa,32,32,0,1.0,0.0
adios,11,7,0,0.6363636363636364,0.0
aditi,11,11,0,1.0,0.0
adj,19,16,0,0.8421052631578947,0.0
adjuda,7,7,0,1.0,0.0
adjugé,114,32,0,0.2807017543859649,0.0
adjutor,22,20,1,0.9090909090909091,0.045454545454545456
adler,26,26,0,1.0,0.0
adley,106,106,0,1.0,0.0
admettez,275,60,0,0.21818181818181817,0.0
admettons,356,177,0,0.49719101123595505,0.0
admirez,226,51,0,0.22566371681415928,0.0
admète,7,7,0,1.0,0.0
ado,21,18,1,0.8571428571428571,0.047619047619047616
adoa,46,46,0,1.0,0.0
adolf,8,8,0,1.0,0.0
adolphe,1851,1850,17,0.9994597514856834,0.009184224743381956
adolphine,296,296,3,1.0,0.010135135135135136
adolphus,16,16,0,1.0,0.0
adomo,83,83,0,1.0,0.0
adonaï,16,16,0,1.0,0.0
adonc,27,24,0,0.8888888888888888,0.0
adoncques,9,7,0,0.7777777777777778,0.0
adone,11,11,1,1.0,0.09090909090909091
adoniram,6,6,0,1.0,0.0
adonis,144,141,0,0.9791666666666666,0.0
adoptez,31,7,0,0.22580645161290322,0.0
adorno,11,11,0,1.0,0.0
adoua,12,12,0,1.0,0.0
adoum,87,87,0,1.0,0.0
adour,38,38,0,1.0,0.0
adrani,12,12,0,1.0,0.0
adrar,6,6,0,1.0,0.0
adressez,477,126,0,0.2641509433962264,0.0
adrets,36,36,2,1.0,0.05555555555555555
adria,7,7,0,1.0,0.0
adriaensen,7,7,0,1.0,0.0
adrian,58,58,0,1.0,0.0
adriane,42,42,0,1.0,0.0
adriani,33,33,0,1.0,0.0
adriatique,225,219,0,0.9733333333333334,0.0
adrichomius,5,5,0,1.0,0.0
adrien,1424,1424,12,1.0,0.008426966292134831
adrienne,2583,2583,6,1.0,0.0023228803716608595
adrâni,32,32,0,1.0,0.0
advanchier,10,10,0,1.0,0.0
advertiser,12,11,0,0.9166666666666666,0.0
adèle,1374,1374,8,1.0,0.005822416302765648
adélaïde,944,944,3,1.0,0.0031779661016949155
adélie,31,31,0,1.0,0.0
adélize,6,6,0,1.0,0.0
adémar,17,17,0,1.0,0.0
adéodat,13,13,0,1.0,0.0
adéonne,115,115,15,1.0,0.13043478260869565
aegidius,5,5,0,1.0,0.0
aennchen,15,15,0,1.0,0.0
aerschoot,5,5,0,1.0,0.0
aerschot,12,12,0,1.0,0.0
af,16,5,1,0.3125,0.0625
afanasi,16,16,0,1.0,0.0
afareahitu,7,7,0,1.0,0.0
afchin,20,20,0,1.0,0.0
affameur,11,6,0,0.5454545454545454,0.0
affinius,5,5,0,1.0,0.0
affonso,40,40,0,1.0,0.0
affre,22,13,1,0.5909090909090909,0.045454545454545456
affrique,6,6,0,1.0,0.0
affréteurs,10,5,0,0.5,0.0
affut,13,7,6,0.5384615384615384,0.46153846153846156
affût,1301,378,3,0.2905457340507302,0.0023059185242121443
afghan,11,8,0,0.7272727272727273,0.0
afghanistan,25,25,0,1.0,0.0
afghans,28,26,0,0.9285714285714286,0.0
africain,439,190,1,0.4328018223234624,0.002277904328018223
africaine,257,80,0,0.311284046692607,0.0
africaines,124,38,0,0.3064516129032258,0.0
africains,153,74,1,0.48366013071895425,0.006535947712418301
africander,43,43,0,1.0,0.0
afrique,2547,2546,3,0.9996073812328229,0.001177856301531213
aga,186,89,0,0.478494623655914,0.0
agadir,41,41,0,1.0,0.0
agagnosc,96,96,0,1.0,0.0
agamemnon,82,82,0,1.0,0.0
agar,36,34,0,0.9444444444444444,0.0
agaric,68,64,2,0.9411764705882353,0.029411764705882353
agarrat,5,5,0,1.0,0.0
agaré,29,29,0,1.0,0.0
agasse,13,9,0,0.6923076923076923,0.0
agasses,6,5,0,0.8333333333333334,0.0
agassiz,7,7,0,1.0,0.0
agathas,29,29,0,1.0,0.0
agathe,1652,1645,10,0.9957627118644068,0.006053268765133172
agathocle,102,102,0,1.0,0.0
agathoclès,6,6,0,1.0,0.0
agathon,16,16,0,1.0,0.0
agaune,16,16,0,1.0,0.0
agde,18,18,0,1.0,0.0
age,469,383,13,0.8166311300639659,0.02771855010660981
agen,76,75,1,0.9868421052631579,0.013157894736842105
agence,557,165,4,0.296229802513465,0.00718132854578097
agenouillez,26,10,0,0.38461538461538464,0.0
agenoux,13,13,0,1.0,0.0
agere,13,12,0,0.9230769230769231,0.0
ages,31,21,1,0.6774193548387096,0.03225806451612903
aghadès,5,5,0,1.0,0.0
aghas,10,6,0,0.6,0.0
aghone,5,5,0,1.0,0.0
aghoo,63,63,0,1.0,0.0
agil,21,21,0,1.0,0.0
agissez,409,97,0,0.2371638141809291,0.0
agissons,164,35,0,0.21341463414634146,0.0
agitez,97,20,0,0.20618556701030927,0.0
aglaja,84,84,0,1.0,0.0
aglaousse,6,6,0,1.0,0.0
aglaure,46,46,0,1.0,0.0
aglaé,419,419,2,1.0,0.00477326968973747
agnan,6,6,0,1.0,0.0
agnano,8,8,0,1.0,0.0
agnele,18,18,0,1.0,0.0
agnelette,188,186,0,0.9893617021276596,0.0
agnes,6,6,6,1.0,1.0
agnese,363,363,0,1.0,0.0
agniel,32,32,0,1.0,0.0
agnier,37,23,0,0.6216216216216216,0.0
agniers,13,13,0,1.0,0.0
agnié,6,6,0,1.0,0.0
agnolo,25,25,0,1.0,0.0
