token_lower,spacy_form,spacy_pos,spacy_lemma
afghan,Afghan,PROPN,Afghan
afghanistan,Afghanistan,PROPN,Afghanistan
afghans,Afghans,PROPN,Afghans
africain,Africain,PROPN,Africain
africaine,Africaine,PROPN,Africaine
africaines,Africaines,PROPN,Africaines
africains,Africains,PROPN,Africains
africander,Africander,PROPN,Africander
afrique,Afrique,PROPN,Afrique
aga,Aga,PROPN,Aga
agadir,Agadir,PROPN,Agadir
agagnosc,Agagnosc,PROPN,Agagnosc
agamemnon,Agamemnon,PROPN,Agamemnon
agaric,Agaric,PROPN,Agaric
agarrat,Agarrat,PROPN,Agarrat
agasse,Agasse,PROPN,Agasse
agasses,Agasses,PROPN,Agasses
agassiz,Agassiz,PROPN,Agassiz
agathas,Agathas,PROPN,Agathas
agathe,Agathe,PROPN,Agathe
agathocle,Agathocle,PROPN,Agathocle
agathon,Agathon,PROPN,Agathon
agaune,Agaune,PROPN,Agaune
agde,Agde,PROPN,Agde
age,Age,PROPN,Age
agen,Agen,PROPN,Agen
agere,Agere,PROPN,Agere
ages,Ages,PROPN,Ages
aghadès,Aghadès,PROPN,Aghadès
aghas,Aghas,PROPN,Aghas
aghone,Aghone,PROPN,Aghone
agil,Agil,PROPN,Agil
agitez,Agitez,PROPN,Agitez
aglaja,Aglaja,PROPN,Aglaja
aglaousse,Aglaousse,PROPN,Aglaousse
aglaure,Aglaure,PROPN,Aglaure
aglaé,Aglaé,PROPN,Aglaé
agnan,Agnan,PROPN,Agnan
agnano,Agnano,PROPN,Agnano
agnele,Agnele,PROPN,Agnele
agnelette,Agnelette,PROPN,Agnelette
agnes,Agnes,PROPN,Agnes
agniel,Agniel,PROPN,Agniel
agnier,Agnier,PROPN,Agnier
agniers,Agniers,PROPN,Agniers
agnié,Agnié,PROPN,Agnié
agnolo,Agnolo,PROPN,Agnolo
agnus,Agnus,PROPN,Agnus
agnèle,Agnèle,PROPN,Agnèle
agnès,Agnès,PROPN,Agnès
agobar,Agobar,PROPN,Agobar
agora,Agora,PROPN,Agora
agost,Agost,PROPN,Agost
agostini,Agostini,PROPN,Agostini
agostino,Agostino,PROPN,Agostino
agra,Agra,PROPN,Agra
agraïne,Agraïne,PROPN,Agraïne
agree,Agree,PROPN,Agree
agricola,Agricola,PROPN,Agricola
agrippa,Agrippa,PROPN,Agrippa
agrève,Agrève,PROPN,Agrève
agréda,Agréda,PROPN,Agréda
aguado,Aguado,PROPN,Aguado
agubeil,Agubeil,PROPN,Agubeil
aguedal,Aguedal,PROPN,Aguedal
aguesseau,Aguesseau,PROPN,Aguesseau
aguilar,Aguilar,PROPN,Aguilar
agut,Agut,PROPN,Agut
agée,Agée,PROPN,Agée
agénor,Agénor,PROPN,Agénor
agésilas,Agésilas,PROPN,Agésilas
aharon,Aharon,PROPN,Aharon
ahasverus,Ahasverus,PROPN,Ahasverus
ahasvérus,Ahasvérus,PROPN,Ahasvérus
ahead,Ahead,PROPN,Ahead
aher,Aher,PROPN,Aher
ahh,Ahh,PROPN,Ahh
ahi,Ahi,PROPN,Ahi
ahl,Ahl,PROPN,Ahl
ahlefeld,Ahlefeld,PROPN,Ahlefeld
ahmar,Ahmar,PROPN,Ahmar
ahmosis,Ahmosis,PROPN,Ahmosis
ahmès,Ahmès,PROPN,Ahmès
ahrenfeld,Ahrenfeld,PROPN,Ahrenfeld
ahès,Ahès,PROPN,Ahès
aia,Aia,PROPN,Aia
aias,Aias,PROPN,Aias
aidez,Aidez,PROPN,Aidez
aigle,Aigle,PROPN,Aigle
aiglemont,Aiglemont,PROPN,Aiglemont
aiglon,Aiglon,PROPN,Aiglon
aignan,Aignan,PROPN,Aignan
aigoual,Aigoual,PROPN,Aigoual
aigrefeuille,Aigrefeuille,PROPN,Aigrefeuille
aigrigny,Aigrigny,PROPN,Aigrigny
aiguebelle,Aiguebelle,PROPN,Aiguebelle
aiguebelles,Aiguebelles,PROPN,Aiguebelles
aigueblanche,Aigueblanche,PROPN,Aigueblanche
aigueblande,Aigueblande,PROPN,Aigueblande
aiguebère,Aiguebère,PROPN,Aiguebère
aiguisettes,Aiguisettes,PROPN,Aiguisettes
aigurande,Aigurande,PROPN,Aigurande
aillane,Aillane,PROPN,Aillane
ailly,Ailly,PROPN,Ailly
aimard,Aimard,PROPN,Aimard
aimeri,Aimeri,PROPN,Aimeri
aimery,Aimery,PROPN,Aimery
aimon,Aimon,PROPN,Aimon
ain,Ain,PROPN,Ain
ainay,Ainay,PROPN,Ainay
airam,Airam,PROPN,Airam
aires,Aires,PROPN,Aires
airiau,Airiau,PROPN,Airiau
airoles,Airoles,PROPN,Airoles
airvault,Airvault,PROPN,Airvault
aisne,Aisne,PROPN,Aisne
aita,Aita,PROPN,Aita
aix,Aix,PROPN,Aix
ajaccio,Ajaccio,PROPN,Ajaccio
ajalbert,Ajalbert,PROPN,Ajalbert
ajamil,Ajamil,PROPN,Ajamil
ajax,Ajax,PROPN,Ajax
ajoutez,Ajoutez,PROPN,Ajoutez
ajuda,Ajuda,PROPN,Ajuda
ajut,Ajut,PROPN,Ajut
akasaba,Akasaba,PROPN,Akasaba
akbar,Akbar,PROPN,Akbar
akelma,Akelma,PROPN,Akelma
akhaiens,Akhaiens,PROPN,Akhaiens
akime,Akime,PROPN,Akime
akki,Akki,PROPN,Akki
akmatcha,Akmatcha,PROPN,Akmatcha
ala,Ala,PROPN,Ala
alabama,Alabama,PROPN,Alabama
aladdin,Aladdin,PROPN,Aladdin
aladin,Aladin,PROPN,Aladin
alagoas,Alagoas,PROPN,Alagoas
alain,Alain,PROPN,Alain
alais,Alais,PROPN,Alais
alameda,Alameda,PROPN,Alameda
alan,Alan,PROPN,Alan
alanck,Alanck,PROPN,Alanck
alaor,Alaor,PROPN,Alaor
alarde,Alarde,PROPN,Alarde
alari,Alari,PROPN,Alari
alaric,Alaric,PROPN,Alaric
alarm,Alarm,PROPN,Alarm
alary,Alary,PROPN,Alary
alaska,Alaska,PROPN,Alaska
alaure,Alaure,PROPN,Alaure
alaurence,Alaurence,PROPN,Alaurence
alava,Alava,PROPN,Alava
alavoine,Alavoine,PROPN,Alavoine
alavoy,Alavoy,PROPN,Alavoy
alba,Alba,PROPN,Alba
albaceyte,Albaceyte,PROPN,Albaceyte
albacète,Albacète,PROPN,Albacète
alban,Alban,PROPN,Alban
albanaise,Albanaise,PROPN,Albanaise
albane,Albane,PROPN,Albane
