word,global_frequency,pos,lemma,is_stopword,is_proper_noun_candidate,is_content_pos
jardin,22740,NOUN,jardin,False,False,True
lumière,22669,NOUN,lumière,False,False,True
longue,22638,ADJ,long,False,False,True
présence,22611,NOUN,présence,False,False,True
malheureux,22596,ADJ,malheureux,False,False,True
parut,22570,VERB,paraître,False,False,True
colère,22510,NOUN,colère,False,False,True
disant,22476,VERB,dire,False,False,True
regardait,22467,VERB,regarder,False,False,True
triste,22459,ADJ,triste,False,False,True
froid,22436,ADJ,froid,False,False,True
reine,22417,NOUN,reine,False,False,True
âge,22409,NOUN,âge,False,False,True
vivre,22398,VERB,vivre,False,False,True
années,22369,NOUN,année,False,False,True
travail,22346,NOUN,travail,False,False,True
moyen,22245,ADJ,moyen,False,False,True
douleur,22231,NOUN,douleur,False,False,True
trouvé,22220,VERB,trouver,False,False,True
put,22082,VERB,pouvoir,False,False,True
parti,22082,VERB,partir,False,False,True
pâle,22010,ADJ,pâle,False,False,True
vraiment,21907,ADV,vraiment,False,False,True
ouvrit,21764,VERB,ouvrir,False,False,True
viens,21756,ADJ,vien,False,False,True
signe,21709,NOUN,signe,False,False,True
malade,21676,ADJ,malade,False,False,True
répondre,21658,VERB,répondre,False,False,True
courage,21592,NOUN,courage,False,False,True
secret,21517,NOUN,secret,False,False,True
coups,21499,NOUN,coup,False,False,True
attendre,21444,VERB,attendre,False,False,True
petites,21405,ADJ,petit,False,False,True
foi,21403,NOUN,foi,False,False,True
pièce,21351,NOUN,pièce,False,False,True
simple,21327,ADJ,simple,False,False,True
ensemble,21272,NOUN,ensemble,False,False,True
trouve,21254,VERB,trouver,False,False,True
souvenir,21207,VERB,souvenir,False,False,True
vent,21167,ADV,vent,False,False,True
voyage,21160,NOUN,voyage,False,False,True
épaules,21050,NOUN,épaule,False,False,True
filles,21045,NOUN,fille,False,False,True
bord,21036,ADJ,bord,False,False,True
aimait,21033,VERB,aimer,False,False,True
ensuite,20987,ADV,ensuite,False,False,True
alla,20852,VERB,aller,False,False,True
jeta,20722,VERB,jeter,False,False,True
fleurs,20654,NOUN,fleur,False,False,True
maîtresse,20574,NOUN,maîtresse,False,False,True
service,20471,NOUN,service,False,False,True
attention,20466,NOUN,attention,False,False,True
blanc,20419,ADJ,blanc,False,False,True
droite,20416,NOUN,droite,False,False,True
partir,20400,VERB,partir,False,False,True
devoir,20360,VERB,devoir,False,False,True
