word,global_frequency
noms,7589
siège,7586
sortait,7583
rentra,7582
millions,7560
roger,7554
maréchal,7553
port,7553
science,7549
glace,7546
oiseaux,7533
officiers,7527
attend,7527
offrir,7527
retenir,7525
voyageurs,7513
raconter,7496
sinon,7494
accepter,7485
ancienne,7485
agréable,7485
dirait,7480
delà,7467
pourrais,7459
objets,7458
raoul,7456
violence,7456
angleterre,7451
perdue,7448
croit,7441
content,7441
songer,7439
suzanne,7435
rencontré,7433
agissait,7407
julien,7405
cherche,7403
releva,7400
gardes,7388
âmes,7382
entièrement,7380
servi,7378
pur,7377
jetant,7357
résultat,7352
douter,7346
lieues,7340
geneviève,7334
poids,7333
montrant,7331
obscurité,7331
éducation,7320
destinée,7313
envoyé,7297
albert,7296
tenant,7295
animal,7292
têtes,7289
effroi,7286
riches,7271
domestiques,7269
lesquelles,7268
manquait,7252
envoyer,7251
espace,7251
dépit,7248
remords,7241
lampe,7227
comprenait,7222
vierge,7221
présenter,7221
religion,7213
victoire,7203
instruction,7198
auberge,7196
changer,7196
gaston,7195
couteau,7190
prononça,7185
souffrance,7176
écoutez,7169
bernard,7162
prête,7159
o,7142
montagnes,7132
avouer,7115
ouvrait,7110
herbe,7110
bah,7107
sienne,7102
rapport,7097
soixante,7093
ayez,7090
cadavre,7081
travailler,7080
malheureusement,7072
joyeux,7072
reçut,7069
élève,7066
désert,7059
triomphe,7055
adressant,7051
branches,7036
duquel,7034
empire,7033
agir,7032
patience,7031
gouvernement,7012
regret,7006
parla,7003
sage,7001
neveu,6993
balbutia,6987
gare,6982
fureur,6981
sac,6979
allé,6978
superbe,6971
déclara,6965
vraie,6965
aimez,6964
circonstance,6962
navire,6959
gaieté,6959
pénible,6956
éviter,6955
entrait,6952
quitta,6952
fussent,6942
monte,6935
camarade,6935
mouvements,6928
corde,6924
réellement,6919
prévenir,6917
découvrir,6915
néanmoins,6906
travaux,6900
toucher,6899
attends,6893
viennent,6888
sein,6886
embarras,6861
portée,6858
journaux,6858
commence,6857
met,6850
placé,6850
songe,6847
anciens,6847
vieilles,6845
jaune,6841
larges,6837
retirer,6827
aperçu,6820
fallut,6820
valeur,6819
flamme,6818
habit,6814
excellent,6813
morceau,6805
ridicule,6803
vieil,6799
lac,6798
dut,6791
facilement,6784
odeur,6772
demoiselle,6764
bande,6754
patron,6748
irai,6740
fis,6736
poussière,6734
appel,6729
gérard,6727
claude,6715
tapis,6711
roland,6710
trou,6708
modeste,6703
toile,6692
tourner,6685
souper,6685
caché,6677
avoue,6673
furieux,6672
aie,6671
servait,6669
tableau,6667
rappelle,6656
ventre,6654
saurait,6651
éloigner,6651
atteindre,6643
morale,6641
rayons,6640
suffit,6637
rares,6622
onze,6620
mérite,6619
élevé,6600
autorité,6598
continuer,6597
province,6597
habitants,6591
événement,6588
meubles,6582
froidement,6579
bonhomme,6572
sorti,6568
porté,6559
bourse,6549
fasse,6540
servante,6539
explication,6536
ténèbres,6535
eurent,6535
devez,6524
marchand,6524
lu,6521
décidément,6518
serra,6518
paysans,6511
ignore,6506
nuits,6504
terrain,6504
produit,6504
essaya,6500
fleuve,6495
finir,6493
enthousiasme,6492
henriette,6488
loge,6484
épouse,6479
éclair,6479
raymond,6475
sévère,6475
vivait,6472
admirable,6471
commune,6471
fallu,6469
marier,6467
dirigea,6464
crier,6463
pavillon,6463
pauline,6463
sable,6462
occupait,6447
conditions,6442
major,6439
jalousie,6438
fuite,6436
française,6434
rude,6425
demeurait,6419
épouvante,6418
aider,6418
singulier,6418
trompé,6414
réflexions,6412
deviner,6411
discours,6408
dur,6405
rêves,6404
pénétrer,6401
etc,6400
habits,6385
pure,6381
pleins,6380
oiseau,6377
paru,6371
entré,6370
luxe,6368
ô,6368
diane,6360
besogne,6360
condition,6350
fine,6350
disparut,6347
environs,6346
plupart,6343
retira,6335
acheter,6331
tenu,6331
extrémité,6329
subitement,6325
antoine,6322
nommé,6305
relations,6304
sauvé,6300
donnez,6299
comprenez,6294
soient,6293
tombait,6293
posa,6287
lecture,6285
fumée,6275
assure,6270
pourra,6267
expérience,6266
estime,6266
ému,6265
chapelle,6259
égal,6257
auriez,6256
prier,6254
inquiète,6250
réflexion,6248
mode,6244
commissaire,6244
sec,6243
i,6242
marbre,6237
courte,6227
grille,6227
europe,6226
abri,6223
tressaillit,6221
banc,6220
doivent,6219
chaussée,6217
nuages,6216
complète,6209
prononcer,6201
quoiqu,6200
embrasser,6195
hautes,6185
plume,6182
tâche,6179
vagues,6177
camp,6176
commerce,6175
grosses,6171
sachant,6170
paupières,6168
masse,6161
remis,6160
élança,6160
couleurs,6159
attendu,6156
bel,6154
ailes,6142
découvert,6119
chefs,6114
éprouvait,6114
naissance,6113
gré,6113
remarqué,6099
langage,6091
cavalier,6089
professeur,6087
répétait,6081
rappeler,6079
patrie,6075
bizarre,6075
cherchant,6070
rare,6065
voyais,6056
appela,6056
directeur,6056
forcé,6055
mission,6053
témoin,6039
plaine,6034
arracher,6034
présenta,6027
conseils,6021
condamné,6017
gestes,6007
silencieux,6001
secoua,5998
singulière,5994
disaient,5985
instinct,5985
héros,5982
marches,5982
particulier,5981
présente,5979
minuit,5978
souffert,5976
nombreux,5975
braves,5973
vol,5966
tombé,5963
pencha,5959
blessure,5955
loup,5950
lâche,5947
peintre,5946
sortant,5942
promesse,5937
nièce,5933
existe,5932
simon,5919
mètres,5918
arme,5917
velours,5915
commencement,5914
utile,5913
permettez,5907
intérêts,5904
gardé,5903
toit,5903
manquer,5887
adresser,5886
propres,5883
hôte,5878
avançait,5875
vallée,5875
ardeur,5873
pouvons,5871
dormait,5868
coutume,5866
chérie,5863
défense,5860
poète,5855
terribles,5853
sacrifice,5852
précieux,5848
serons,5845
secrétaire,5844
inclina,5843
moine,5843
jules,5840
